frame,score
frame_000245.png,0.229832
frame_000246.png,0.209998
frame_000247.png,0.227602
frame_000248.png,0.191541
frame_000249.png,0.167523
frame_000250.png,0.668191
frame_000251.png,0.178328
frame_000252.png,0.189331
frame_000253.png,0.199796
frame_000254.png,0.180613
frame_000255.png,0.212479
frame_000256.png,0.203542
frame_000257.png,0.224180
frame_000258.png,0.195785
frame_000259.png,0.222975
frame_000260.png,0.212498
frame_000261.png,0.231057
frame_000262.png,0.192890
frame_000263.png,0.232004
frame_000264.png,0.228740
frame_000265.png,0.242870
frame_000266.png,0.198108
frame_000267.png,0.236420
frame_000268.png,0.228596
frame_000269.png,0.252461
frame_000270.png,0.215116
frame_000271.png,0.238968
frame_000272.png,0.226138
frame_000273.png,0.260667
frame_000274.png,0.209354
frame_000275.png,0.238497
frame_000276.png,0.236125
frame_000277.png,0.259400
frame_000278.png,0.219707
frame_000279.png,0.263243
frame_000280.png,0.238194
frame_000281.png,0.262539
frame_000282.png,0.210706
frame_000283.png,0.260646
frame_000284.png,0.256292
frame_000285.png,0.276117
frame_000286.png,0.218873
frame_000287.png,0.264043
frame_000288.png,0.253237
frame_000289.png,0.283885
frame_000290.png,0.232294
frame_000291.png,0.274169
frame_000292.png,0.248627
frame_000293.png,0.287500
frame_000294.png,0.236424
frame_000295.png,0.276956
frame_000296.png,0.263277
frame_000297.png,0.292407
frame_000298.png,0.248794
frame_000299.png,0.288750
frame_000300.png,0.264419
frame_000301.png,0.293387
frame_000302.png,0.249564
frame_000303.png,0.283991
frame_000304.png,0.282240
frame_000305.png,0.299032
frame_000306.png,0.245540
frame_000307.png,0.290523
frame_000308.png,0.278937
frame_000309.png,0.312845
frame_000310.png,0.250642
frame_000311.png,0.298040
frame_000312.png,0.285258
frame_000313.png,0.314647
frame_000314.png,0.267267
frame_000315.png,0.304767
frame_000316.png,0.288580
frame_000317.png,0.328600
frame_000318.png,0.251998
frame_000319.png,0.304921
frame_000320.png,0.290938
frame_000321.png,0.326155
frame_000322.png,0.259817
frame_000323.png,0.317847
frame_000324.png,0.305513
frame_000325.png,0.333758
frame_000326.png,0.274792
frame_000327.png,0.310413
frame_000328.png,0.308586
